date,series_id,value,release_date,vintage_date
2006-07-01,2,120.556872,2026-07-17,2026-07-17
2006-08-01,2,120.793839,2026-07-17,2026-07-17
2006-09-01,2,120.201422,2026-07-17,2026-07-17
2006-10-01,2,119.549763,2026-07-17,2026-07-17
2006-11-01,2,119.372038,2026-07-17,2026-07-17
2006-12-01,2,119.549763,2026-07-17,2026-07-17
2007-01-01,2,119.914692,2026-07-17,2026-07-17
2007-02-01,2,120.55628,2026-07-17,2026-07-17
2007-03-01,2,121.654028,2026-07-17,2026-07-17
2007-04-01,2,122.444313,2026-07-17,2026-07-17
2007-05-01,2,123.192536,2026-07-17,2026-07-17
2007-06-01,2,123.43128,2026-07-17,2026-07-17
2007-07-01,2,123.399882,2026-07-17,2026-07-17
2007-08-01,2,123.173578,2026-07-17,2026-07-17
2007-09-01,2,123.513033,2026-07-17,2026-07-17
2007-10-01,2,123.777251,2026-07-17,2026-07-17
2007-11-01,2,124.512441,2026-07-17,2026-07-17
2007-12-01,2,124.42891,2026-07-17,2026-07-17
2008-01-01,2,125.047393,2026-07-17,2026-07-17
2008-02-01,2,125.410545,2026-07-17,2026-07-17
2008-03-01,2,126.49763,2026-07-17,2026-07-17
2008-04-01,2,127.26481,2026-07-17,2026-07-17
2008-05-01,2,128.336493,2026-07-17,2026-07-17
2008-06-01,2,129.629739,2026-07-17,2026-07-17
2008-07-01,2,130.310427,2026-07-17,2026-07-17
2008-08-01,2,129.790284,2026-07-17,2026-07-17
2008-09-01,2,129.610782,2026-07-17,2026-07-17
2008-10-01,2,128.30154,2026-07-17,2026-07-17
2008-11-01,2,125.844194,2026-07-17,2026-07-17
2008-12-01,2,124.542654,2026-07-17,2026-07-17
2009-01-01,2,125.084716,2026-07-17,2026-07-17
2009-02-01,2,125.706754,2026-07-17,2026-07-17
2009-03-01,2,126.012441,2026-07-17,2026-07-17
2009-04-01,2,126.327014,2026-07-17,2026-07-17
2009-05-01,2,126.691943,2026-07-17,2026-07-17
2009-06-01,2,127.780213,2026-07-17,2026-07-17
2009-07-01,2,127.577607,2026-07-17,2026-07-17
2009-08-01,2,127.863744,2026-07-17,2026-07-17
2009-09-01,2,127.94372,2026-07-17,2026-07-17
2009-10-01,2,128.066943,2026-07-17,2026-07-17
2009-11-01,2,128.157583,2026-07-17,2026-07-17
2009-12-01,2,127.931872,2026-07-17,2026-07-17
2010-01-01,2,128.369076,2026-07-17,2026-07-17
2010-02-01,2,128.401066,2026-07-17,2026-07-17
2010-03-01,2,128.928318,2026-07-17,2026-07-17
2010-04-01,2,129.152251,2026-07-17,2026-07-17
2010-05-01,2,129.25237,2026-07-17,2026-07-17
2010-06-01,2,129.126185,2026-07-17,2026-07-17
2010-07-01,2,129.153436,2026-07-17,2026-07-17
2010-08-01,2,129.331754,2026-07-17,2026-07-17
2010-09-01,2,129.406991,2026-07-17,2026-07-17
2010-10-01,2,129.568128,2026-07-17,2026-07-17
2010-11-01,2,129.62263,2026-07-17,2026-07-17
2010-12-01,2,129.845379,2026-07-17,2026-07-17
2011-01-01,2,130.463863,2026-07-17,2026-07-17
2011-02-01,2,131.107227,2026-07-17,2026-07-17
2011-03-01,2,132.385664,2026-07-17,2026-07-17
2011-04-01,2,133.238152,2026-07-17,2026-07-17
2011-05-01,2,133.864929,2026-07-17,2026-07-17
2011-06-01,2,133.721564,2026-07-17,2026-07-17
2011-07-01,2,133.840047,2026-07-17,2026-07-17
2011-08-01,2,134.209123,2026-07-17,2026-07-17
2011-09-01,2,134.412915,2026-07-17,2026-07-17
2011-10-01,2,134.135664,2026-07-17,2026-07-17
2011-11-01,2,134.022512,2026-07-17,2026-07-17
2011-12-01,2,133.691943,2026-07-17,2026-07-17
2012-01-01,2,134.280213,2026-07-17,2026-07-17
2012-02-01,2,134.871445,2026-07-17,2026-07-17
2012-03-01,2,135.895735,2026-07-17,2026-07-17
2012-04-01,2,136.30628,2026-07-17,2026-07-17
2012-05-01,2,136.146327,2026-07-17,2026-07-17
2012-06-01,2,135.946682,2026-07-17,2026-07-17
2012-07-01,2,135.725118,2026-07-17,2026-07-17
2012-08-01,2,136.48045,2026-07-17,2026-07-17
2012-09-01,2,137.089455,2026-07-17,2026-07-17
2012-10-01,2,137.036137,2026-07-17,2026-07-17
2012-11-01,2,136.386848,2026-07-17,2026-07-17
2012-12-01,2,136.01955,2026-07-17,2026-07-17
2013-01-01,2,136.421801,2026-07-17,2026-07-17
2013-02-01,2,137.5391,2026-07-17,2026-07-17
2013-03-01,2,137.898697,2026-07-17,2026-07-17
2013-04-01,2,137.755332,2026-07-17,2026-07-17
2013-05-01,2,138.000592,2026-07-17,2026-07-17
2013-06-01,2,138.331754,2026-07-17,2026-07-17
2013-07-01,2,138.386256,2026-07-17,2026-07-17
2013-08-01,2,138.552725,2026-07-17,2026-07-17
2013-09-01,2,138.713863,2026-07-17,2026-07-17
2013-10-01,2,138.356635,2026-07-17,2026-07-17
2013-11-01,2,138.074052,2026-07-17,2026-07-17
2013-12-01,2,138.062204,2026-07-17,2026-07-17
2014-01-01,2,138.575829,2026-07-17,2026-07-17
2014-02-01,2,139.08827,2026-07-17,2026-07-17
2014-03-01,2,139.984005,2026-07-17,2026-07-17
2014-04-01,2,140.445498,2026-07-17,2026-07-17
2014-05-01,2,140.936019,2026-07-17,2026-07-17
2014-06-01,2,141.19846,2026-07-17,2026-07-17
2014-07-01,2,141.143365,2026-07-17,2026-07-17
2014-08-01,2,140.907583,2026-07-17,2026-07-17
2014-09-01,2,141.013626,2026-07-17,2026-07-17
2014-10-01,2,140.65936,2026-07-17,2026-07-17
