series_id,country,subject,indicator,series_name,data_type,frequency,description,haver_code,bls_code
87,US,Prices,CPI,CPI-U: Lodging Away from Home (Index),Weight,M,"CPI-U: Lodging Away from Home - Weight (Relative Importance, Table 6 BLS)",,CPIUS:lodging_away
88,US,Prices,CPI,CPI-U: Medical Care Commodities (Index),NSA,M,CPI-U: Medical Care Commodities - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:medical_goods
89,US,Prices,CPI,CPI-U: Medical Care Commodities (Index),SA,M,CPI-U: Medical Care Commodities - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:medical_goods
90,US,Prices,CPI,CPI-U: Medical Care Commodities (Index),Weight,M,"CPI-U: Medical Care Commodities - Weight (Relative Importance, Table 6 BLS)",,CPIUS:medical_goods
91,US,Prices,CPI,CPI-U: Medical Care Services (Index),NSA,M,CPI-U: Medical Care Services - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:medical_services
92,US,Prices,CPI,CPI-U: Medical Care Services (Index),SA,M,CPI-U: Medical Care Services - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:medical_services
93,US,Prices,CPI,CPI-U: Medical Care Services (Index),Weight,M,"CPI-U: Medical Care Services - Weight (Relative Importance, Table 6 BLS)",,CPIUS:medical_services
94,US,Prices,CPI,CPI-U: Motor Fuel (Index),NSA,M,CPI-U: Motor Fuel - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:motor_fuel
95,US,Prices,CPI,CPI-U: Motor Fuel (Index),SA,M,CPI-U: Motor Fuel - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:motor_fuel
96,US,Prices,CPI,CPI-U: Motor Fuel (Index),Weight,M,"CPI-U: Motor Fuel - Weight (Relative Importance, Table 6 BLS)",,CPIUS:motor_fuel
97,US,Prices,CPI,CPI-U: Motor Vehicle Insurance (Index),NSA,M,CPI-U: Motor Vehicle Insurance - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:motor_vehicle_insur
98,US,Prices,CPI,CPI-U: Motor Vehicle Insurance (Index),SA,M,CPI-U: Motor Vehicle Insurance - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:motor_vehicle_insur
99,US,Prices,CPI,CPI-U: Motor Vehicle Insurance (Index),Weight,M,"CPI-U: Motor Vehicle Insurance - Weight (Relative Importance, Table 6 BLS)",,CPIUS:motor_vehicle_insur
100,US,Prices,CPI,CPI-U: Motor Vehicle Maintenance and Repair (Index),NSA,M,CPI-U: Motor Vehicle Maintenance and Repair - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:motor_vehicle_maint
101,US,Prices,CPI,CPI-U: Motor Vehicle Maintenance and Repair (Index),SA,M,CPI-U: Motor Vehicle Maintenance and Repair - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:motor_vehicle_maint
102,US,Prices,CPI,CPI-U: Motor Vehicle Maintenance and Repair (Index),Weight,M,"CPI-U: Motor Vehicle Maintenance and Repair - Weight (Relative Importance, Table 6 BLS)",,CPIUS:motor_vehicle_maint
103,US,Prices,CPI,CPI-U: New Vehicles (Index),NSA,M,CPI-U: New Vehicles - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:new_vehicles
104,US,Prices,CPI,CPI-U: New Vehicles (Index),SA,M,CPI-U: New Vehicles - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:new_vehicles
105,US,Prices,CPI,CPI-U: New Vehicles (Index),Weight,M,"CPI-U: New Vehicles - Weight (Relative Importance, Table 6 BLS)",,CPIUS:new_vehicles
106,US,Prices,CPI,CPI-U: Owners' Equivalent Rent of Residences (Index),NSA,M,CPI-U: Owners' Equivalent Rent of Residences - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:oer
107,US,Prices,CPI,CPI-U: Owners' Equivalent Rent of Residences (Index),SA,M,CPI-U: Owners' Equivalent Rent of Residences - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:oer
